"","first","second","third","fourth","fifth","sixth","seventh","eighth","ninth"
"0",0.011521622244412,20.3471848836316,19.7634226899147,11.7277312645621,10.1441482960801,10.1851140640602,9.90603476969557,9.95212125867322,9.41828609468213
"1",89.8788949484087,1.12399825895486,8.16626981078936,11.2348618685511,10.1428681158307,10.0007681081496,9.95084107842384,9.93547891543129,11.1426888905958
"2",10.1095834293469,50.5440766059861,7.94607880789615,11.3782420564816,9.88299152520675,10.3259338914919,10.0532554983742,10.0826996441099,10.9455411321914
"3",0,10.9993087026653,10.224799651791,10.4897969634124,10.2017564073021,9.97260414266329,10.171032081317,10.0340527946335,9.10592211383363
"4",0,0.554318047981156,9.92779783393502,9.97900504391018,10.0506951378754,10.1620708195714,9.91627621169061,10.0558158588729,9.73577079652815
"5",0,0.213790101646312,8.40438333717387,9.51557979363494,9.86378882146606,9.89451314745116,9.94315999692757,10.0583762193717,10.5730086796221
"6",0,7.16388867552551,10.9826663594234,8.36213738894436,9.86250864121668,9.82282305348593,9.92523747343626,10.0174104513916,9.90603476969557
"7",0,4.16954707222777,10.3925032644596,8.69626443403231,10.0148500908928,9.93931945617943,10.1044627083493,10.1108636095962,10.5384438128889
"8",0,1.40307755331951,8.40054279642574,9.41956627493151,9.87915098445861,9.8919527869524,10.0404536958804,9.82026269298717,10.0532554983742
"9",0,3.46928847581739,5.78001382594669,9.18529328929513,9.94572035742633,9.79337890775021,9.9777248636608,9.92139693268812,8.56952658934378
